Signature,Time,Action,From,To,Amount,Flow,Value,Decimals,TokenAddress
mqetdB6CnZnwuG3J8Xy1XpZG8P8YWZSosXQwdcDST5zjajxZeTWEdEDuWswF5L1Nn7oq7CMUrfbvcmYFwYCiY8R,1741342268,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,6oHRRtfwTZPHaP7mnKYQELy4Z4a8cB7iFRv5YsYeEBgE,60000000000,out,8628.6,9,SOL
8kg43LqigGdrMv1wUpGHi4Qmgw45G8UwVmxKmFqJZbLJ8yQFAVEf2sSp5ShzL2qXj4HFLLRqgdaammsUh5o53nG,1741341904,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2yDLe4Svy3fyWK4NYXmhrUzF2oseheqkk7LuVMTp9WbX,60000000000,out,8655,9,SOL
38bwCjNeViyYBCczyVRcJWyd7daKSC1MeBB5RHK7RaHg5odXs6m8GesUT99JjSg6CpGZAC965KzqyAVpxTsKutwb,1741341581,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,7tnzn8notamPB3JM3kMoGdJY1eQdkXPgoNz2HKqaQ265,60000000000,out,8655,9,SOL
45nWiLGw3vSN1R5UmGRaiZZr82JHB4GrjYa6nbUZHYiDYx88Ug3HerJCrbgs1fsN4zREomtKCe7MiWmcKQ6hJgVf,1741341314,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,6LLqx8Ln7t9a3CUL9NVD8uaBKxKKLgq1Go6YZrwnVN72,83303800000,out,12075.72,9,SOL
BvoP25msVtDEGGekNYi6BmKWBDE8y7UCKBWeTfUEUFGAiNJ49zg64YZuPoWMuFVmxUbSXwh6G6kvcFEbDWmBeVD,1741339754,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CCMEVfwWieESwdVXJwCK36eppZZdWKsr1Mk1nV9J9dEG,60000000000,out,8701.8,9,SOL
MqLWUeW4r7rphHbtmsvBoyxQ2tCV3frzmc6eroXsmvJQvD8x5kp8qKBpr53ooWYLDcaAmUDt1e6P85dh7eLbcTV,1741339304,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CZXb3nL16CHuwJzLK5LXLpTYSomPn4o6f8yBqMWS1tB4,60000000000,out,8697,9,SOL
38WwfuCNz9WMSz9EyEzVCXUN1u2C2Gcft26Ra9KYZP2f71ZnWkDpcuzsbXczTCaxgCiEhVkyQQT8aTt6mezb5R9t,1741338804,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,CVuknTXiZ7q9m6h2VL6E51dB1PVRMcroqbANv1VEscXJ,60000000000,out,8671.2,9,SOL
nz9fxEpiXmxGySPBDvdDtGmY8EgoHEYTUfE3mvYgPeUorGL1AEVFKh9Rj4BQXkjg4RADS7KtGmPAYsjv8xGCeVt,1741338179,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,2u84JBXVuR8hu6VPNxYsxsMVFNiwaJgN5EBgf9fwnZUw,60000000000,out,8650.8,9,SOL
2ziUWUMNjpSvcYHRzF1P8vvhmW6s8zHEaRTj2PwGMaEU4CRuLRpGFzGs9hvaFa6QtUysXwuXrCxSUPtHrvRpnCfe,1741337991,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,54g6Dkp3K8AKsAc5ZD1vFh4pUb5W9GYaPdWyrV59rC82,69066800000,out,9935.95,9,SOL
5QCNu5ysRSbV3BMebVyLBvexbYwS6VAMy4pxcDocvhf1t3sBqKgxUMbPFz7C9ELdMD3xJFngPSNykevmDJ55dpWs,1741335732,TRANSFER,BmFdpraQhkiDQE6SnfG5omcA1VwzqfXrwtNYBwWTymy6,ASRq5HtZKkLj3fccnGcCAFcPeYAn8pPuwgzjYGyGAqyu,64990000000,out,9362.46,9,SOL
